Sister,Skill Name,Why This Skill (Zone Action Support),Installed?
Prime,email-marketing,Email campaign strategy + automation,Yes
Prime,copywriting,Core copywriting frameworks,Yes
Prime,afrexai-conversion-copywriting,Conversion-focused copy optimization,Yes
Prime,cold-email-personalization,SimHumans - personalized per LinkedIn bio,Yes
Prime,landing-page-generator,Come Get Me competition landing pages,Yes
Prime,lead-generation,Lead acquisition strategy,Yes
Prime,linkedin-lead-generation,LinkedIn-specific lead gen,Yes
Prime,outreach,Multi-channel outreach orchestration,Yes
Prime,cold-outreach,Cold outreach sequences,Yes
Prime,sales-pipeline-tracker,Track people through 7 Levers,Yes
Prime,competitor-analysis,Market intelligence + positioning,Yes
Prime,data-analysis,Level 5 listening to data,Yes
Prime,google-analytics,Track engagement metrics,Yes
Prime,quiz-battle,Sean's competition framework,Yes
Prime,stripe-best-practices,Payment infrastructure,Yes
Prime,sales-funnel-design,Hello to Yes journey architecture,Yes
Prime,automation-workflows,Workflow automation,Yes
Prime,activecampaign-automation,Email + CRM automation,Yes
Prime,mission-control-dashboard,System monitoring dashboards,Yes
Prime,legal,Legal domain expertise,Yes
Forge,[Forge to fill #1],,No
Forge,[Forge to fill #2],,No
Forge,[Forge to fill #3],,No
Forge,[Forge to fill #4],,No
Forge,[Forge to fill #5],,No
Forge,[Forge to fill #6],,No
Forge,[Forge to fill #7],,No
Forge,[Forge to fill #8],,No
Forge,[Forge to fill #9],,No
Forge,[Forge to fill #10],,No
Forge,[Forge to fill #11],,No
Forge,[Forge to fill #12],,No
Forge,[Forge to fill #13],,No
Forge,[Forge to fill #14],,No
Forge,[Forge to fill #15],,No
Forge,[Forge to fill #16],,No
Forge,[Forge to fill #17],,No
Forge,[Forge to fill #18],,No
Forge,[Forge to fill #19],,No
Forge,[Forge to fill #20],,No
Scholar,[Scholar to fill #1],,No
Scholar,[Scholar to fill #2],,No
Scholar,[Scholar to fill #3],,No
Scholar,[Scholar to fill #4],,No
Scholar,[Scholar to fill #5],,No
Scholar,[Scholar to fill #6],,No
Scholar,[Scholar to fill #7],,No
Scholar,[Scholar to fill #8],,No
Scholar,[Scholar to fill #9],,No
Scholar,[Scholar to fill #10],,No
Scholar,[Scholar to fill #11],,No
Scholar,[Scholar to fill #12],,No
Scholar,[Scholar to fill #13],,No
Scholar,[Scholar to fill #14],,No
Scholar,[Scholar to fill #15],,No
Scholar,[Scholar to fill #16],,No
Scholar,[Scholar to fill #17],,No
Scholar,[Scholar to fill #18],,No
Scholar,[Scholar to fill #19],,No
Scholar,[Scholar to fill #20],,No
Memory,[Memory to fill #1],,No
Memory,[Memory to fill #2],,No
Memory,[Memory to fill #3],,No
Memory,[Memory to fill #4],,No
Memory,[Memory to fill #5],,No
Memory,[Memory to fill #6],,No
Memory,[Memory to fill #7],,No
Memory,[Memory to fill #8],,No
Memory,[Memory to fill #9],,No
Memory,[Memory to fill #10],,No
Memory,[Memory to fill #11],,No
Memory,[Memory to fill #12],,No
Memory,[Memory to fill #13],,No
Memory,[Memory to fill #14],,No
Memory,[Memory to fill #15],,No
Memory,[Memory to fill #16],,No
Memory,[Memory to fill #17],,No
Memory,[Memory to fill #18],,No
Memory,[Memory to fill #19],,No
Memory,[Memory to fill #20],,No
Recovery,[Recovery to fill #1],,No
Recovery,[Recovery to fill #2],,No
Recovery,[Recovery to fill #3],,No
Recovery,[Recovery to fill #4],,No
Recovery,[Recovery to fill #5],,No
Recovery,[Recovery to fill #6],,No
Recovery,[Recovery to fill #7],,No
Recovery,[Recovery to fill #8],,No
Recovery,[Recovery to fill #9],,No
Recovery,[Recovery to fill #10],,No
Recovery,[Recovery to fill #11],,No
Recovery,[Recovery to fill #12],,No
Recovery,[Recovery to fill #13],,No
Recovery,[Recovery to fill #14],,No
Recovery,[Recovery to fill #15],,No
Recovery,[Recovery to fill #16],,No
Recovery,[Recovery to fill #17],,No
Recovery,[Recovery to fill #18],,No
Recovery,[Recovery to fill #19],,No
Recovery,[Recovery to fill #20],,No
